,Year_of_Release,Global_Sales,Critic_Score,User_Score,Genre__Action,Genre__Adventure,Genre__Fighting,Genre__Misc,Genre__Platform,Genre__Puzzle,Genre__Racing,Genre__Role-Playing,Genre__Shooter,Genre__Simulation,Genre__Sports,Genre__Strategy,Rating__AO,Rating__E,Rating__E10+,Rating__M,Rating__RP,Rating__T
157,1996.0,4.63,91.0,8.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
158,2008.0,4.62,73.0,7.6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
159,2015.0,4.62,86.0,8.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
160,2002.0,4.6,96.0,8.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
161,2007.0,4.6,86.0,8.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162,2013.0,4.59,86.0,8.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
163,2011.0,4.57,91.0,8.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
164,2004.0,4.53,91.0,7.9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
165,2007.0,4.53,85.0,7.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
166,2006.0,4.49,84.0,8.2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
167,2015.0,4.48,84.0,6.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
168,2002.0,4.48,76.0,7.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
169,2016.0,4.46,77.0,3.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
170,2005.0,4.45,94.0,8.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
171,2015.0,4.43,81.0,8.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
172,2012.0,4.42,77.0,7.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
173,2001.0,4.41,97.0,7.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
174,2006.0,4.39,86.0,8.9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
175,2006.0,4.38,94.0,8.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
176,2005.0,4.37,82.0,9.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
177,2010.0,4.36,56.0,8.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
178,2006.0,4.34,86.0,8.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
179,2005.0,4.33,87.0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
180,2013.0,4.32,93.0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
181,2008.0,4.27,89.0,6.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
182,2001.0,4.24,79.0,7.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
183,2009.0,4.23,91.0,8.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
184,2004.0,4.23,91.0,9.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
185,2011.0,4.22,80.0,7.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
186,2015.0,4.22,88.0,6.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
187,2013.0,4.22,84.0,4.2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
188,2006.0,4.21,85.0,8.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
189,2005.0,4.21,80.0,7.8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
190,2003.0,4.2,80.0,7.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
191,2007.0,4.19,80.0,7.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
192,2011.0,4.19,80.0,7.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
193,2009.0,4.16,94.0,7.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
194,2002.0,4.14,95.0,7.7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
195,1997.0,4.12,96.0,9.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
