,Year_of_Release,Global_Sales,Critic_Score,User_Score,Genre__Action,Genre__Adventure,Genre__Fighting,Genre__Misc,Genre__Platform,Genre__Puzzle,Genre__Racing,Genre__Role-Playing,Genre__Shooter,Genre__Simulation,Genre__Sports,Genre__Strategy,Rating__AO,Rating__E,Rating__E10+,Rating__M,Rating__RP,Rating__T
90,2010.0,6.32,95.0,90.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,2002.0,6.31,92.0,86.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
92,2004.0,6.29,93.0,73.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
93,1999.0,6.27,87.0,81.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94,2011.0,6.21,91.0,78.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
95,2010.0,6.19,73.0,74.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
96,2006.0,6.09,94.0,83.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
97,2014.0,6.08,82.0,57.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
98,2001.0,6.05,96.0,87.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
99,1998.0,6.03,94.0,94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100,2008.0,5.99,94.0,87.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
101,2006.0,5.95,92.0,76.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
102,2013.0,5.87,95.0,91.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103,2008.0,5.82,95.0,68.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
104,1998.0,5.82,89.0,92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
105,2009.0,5.78,87.0,88.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
106,1996.0,5.74,89.0,89.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107,2014.0,5.64,76.0,61.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
108,2007.0,5.64,80.0,89.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
109,2006.0,5.63,67.0,72.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
110,2009.0,5.55,91.0,86.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
111,2007.0,5.54,81.0,77.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
112,2009.0,5.49,92.0,80.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
113,2001.0,5.49,84.0,78.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
